CO_CCAA,DS_CCAA,CO_PROVINC,DS_PROVINC,CO_COMARCA,DS_COMARCA,AREA,provMY,Habitantes,Hombres,Mujeres,Centroid_X,Centroid_Y
8,Castilla y León,5,Ávila,501,ARÉVALO-MADRIGAL,1617085810.77,,25778,13152,12661,-4.859056229030302,40.95161449269867
8,Castilla y León,5,Ávila,502,ÁVILA,2255988011.12,,71683,34228,35325,-4.909485588610073,40.65998655248401
8,Castilla y León,5,Ávila,503,BARCO DE ÁVILA - PIEDRAHITA,1119032632.63,,10153,5418,5205,-5.438310129463667,40.39575930359029
8,Castilla y León,5,Ávila,504,GREDOS,819353585.667,,4749,2711,2360,-5.076554200466887,40.38074741836674
8,Castilla y León,5,Ávila,505,BAJO ALBERCHE,1079087636.83,,25181,13150,12250,-4.510501677516196,40.49523581713461
8,Castilla y León,5,Ávila,506,VALLE DEL TIÉTAR,1158675682.24,,34111,18061,17159,-4.978938802205405,40.23484562752348
8,Castilla y León,9,Burgos,901,MERINDADES,2337183496.65,,23340,13001,11341,-3.4729650984882894,42.970596780270895
8,Castilla y León,9,Burgos,902,LA BUREBA-EBRO,1986126099.44,,55584,29540,27616,-3.301780255019066,42.60309709734769
8,Castilla y León,9,Burgos,903,LA DEMANDA,2294774542.74,,16618,9381,7974,-3.249637520941339,42.08661915195481
8,Castilla y León,9,Burgos,904,LA RIBERA,1573237005.74,,49281,25462,23945,-3.7140484911718215,41.693744436932505
8,Castilla y León,9,Burgos,905,ARLANZA,1750578089.25,,12873,7194,6179,-3.7772027230191134,42.00450814373044
8,Castilla y León,9,Burgos,906,PISUERGA,1550495520.45,,9579,5436,4484,-4.099005574609182,42.41158895214991
8,Castilla y León,9,Burgos,907,PÁRAMOS,1023283281.67,,2315,1367,1076,-3.860890918988292,42.707222652025564
8,Castilla y León,9,Burgos,908,ARLANZÓN,1755700719.98,,202958,98890,102677,-3.67393198675784,42.3701713541864
8,Castilla y León,24,León,2401,BIERZO,2828372782.54,,131404,66331,68157,-6.624465847262841,42.65811519056167
8,Castilla y León,24,León,2402,LA MONTAÑA DE LUNA,2033965536.99,,17086,13545,13317,-6.01884868010716,42.89382490921968
8,Castilla y León,24,León,2403,LA MONTAÑA DE RIAÑO,2409188536.89,,16142,8999,8385,-5.163452840059189,42.95497523532579
8,Castilla y León,24,León,2404,LA CABRERA,1278413849.69,,3970,2257,2137,-6.438418211146741,42.30326930439604
8,Castilla y León,24,León,2405,ASTORGA,1398582156.1,,33775,16272,16745,-6.071736878602297,42.5492986259103
8,Castilla y León,24,León,2406,TIERRAS DE LEÓN,1753038096.99,,204344,98422,109179,-5.410676031193179,42.66053589347323
8,Castilla y León,24,León,2407,LA BAÑEZA,654272239.033,,22059,11372,11524,-5.975075288595898,42.2646842519799
8,Castilla y León,24,León,2408,EL PÁRAMO,906258348.837,,19388,10111,9516,-5.7283181665293466,42.35384884129532
8,Castilla y León,24,León,2409,ESLA-CAMPOS,1392453840.1,,33178,13682,12987,-5.449615823567342,42.31860696870107
8,Castilla y León,24,León,2410,SAHAGÚN,935894354.796,,11964,3725,3506,-5.065762582790732,42.44859286297969
8,Castilla y León,34,Palencia,3401,EL CERRATO,1533922097.59,,24509,12772,11802,-4.275598369414757,41.94169297512652
8,Castilla y León,34,Palencia,3402,CAMPOS,3044916753.25,,108477,53503,56644,-4.628169084736187,42.187918455928724
8,Castilla y León,34,Palencia,3403,SALDAÑA-VALDAVIA,1101691150.21,,8263,4546,3887,-4.712142089737787,42.54005381111994
8,Castilla y León,34,Palencia,3404,BOEDO-OJEDA,585193517.16,,5106,2716,2559,-4.402063572433975,42.635602020212716
8,Castilla y León,34,Palencia,3405,GUARDO,542425520.003,,10489,5500,5443,-4.78089727597863,42.812668497867115
8,Castilla y León,34,Palencia,3406,CERVERA,767808624.16,,3923,2078,1951,-4.534439769118598,42.90830171461287
8,Castilla y León,34,Palencia,3407,AGUILAR,473049639.549,,9748,4835,5070,-4.272980706077517,42.82363339436322
8,Castilla y León,37,Salamanca,3701,VITIGUDINO,2274876826.91,,18492,9779,9377,-6.515263614060104,41.027898165148954
8,Castilla y León,37,Salamanca,3702,LEDESMA,1079716671.18,,6975,3743,3471,-6.015286571991508,41.08592775226357
8,Castilla y León,37,Salamanca,3703,SALAMANCA,1464633196.6,,216639,103446,113360,-5.637520717523272,41.01780371744729
8,Castilla y León,37,Salamanca,3704,PEÑARANDA DE BRACAMONTE,910319883.224,,17562,9320,8737,-5.255486452401893,40.958610382271054
