Province,Name,Town,Lat,Long,Biogas capacity (m3/day),Biogas capacity (GJ),WWTP max capacity (m3/day),WWTP real capacity (m3/day),Biogas use,RNG technology,Sludge process,Municipal,Ref,Notes
AB,Fish Creek Wastewater Treatment Plant,Calgary,50.9114,-114.0091,,,72000,32581,Heat,,"Primary  sedimentation  and  conventional  activated sludge, Chemical Phosphorus Removal",Yes,https://www.waymarking.com/waymarks/wm4WKR_Fish_Creek_Wastewater_Treatment_Plant_Calgary_AB_Canada,
AB,Lethbridge Wastewater Treatment Plant,Lethbridge,49.7157,-112.8578,,,160000,35000,CHP,,"Primary  sedimentation  and  conventional  activated sludge, Biological Nutrient Removal or No Chemical Phosphorus Removal",Yes,"PARTNERS FOR CLIMATE PROTECTION 2022 Update Report
2.85 MW LETHBRIDGE BIOGAS/COGENERATION FACILTY
Water & Wastewater Treatment Plants Processes",
AB,Red Deer WWTP,Red Deer,52.3139,-113.7933,,,120000,35009,Heat,,"Primary  sedimentation  and  conventional  activated sludge, Chemical Phosphorus Removal",Yes,Red Deer’s Wastewater Treatment Plant,
AB,Pine Creek Wastewater Treatment Plant,Calgary,50.8564,-113.9809,,,100000,70595,Heat,,"Primary  sedimentation  and  conventional  activated sludge, Chemical Phosphorus Removal",Yes,"Calgary's New Treatment Plant Puts Advanced Technology In A LEED Gold Package
Projects
Canada Projects
Pine Creek Wastewater Treatment Plant",
AB,ARROW Utilities,Fort Saskatchewan,53.6331,-113.308,,,105000,76160,Heat,,"Primary  sedimentation  and  conventional  activated sludge, Chemical Phosphorus Removal",Yes,2020-annual-report,
AB,Gold Bar Wastewater Treatment Plant,Edmonton,53.5611,-113.4103,30136,,310000,254260,Heat,,"Primary  sedimentation  and  conventional  activated sludge, Biological Nutrient Removal or No Chemical Phosphorus Removal",Yes,"Gold Bar Process & Operations
EPCOR WATER SERVICES INC.
2022-2024
Performance Based Regulation
Wastewater Treatment Application",
AB,Bonnybrook Wastewater Treatment Plant,Calgary,51.0097,-114.0205,,,1070000,364250,CHP,,"Primary  sedimentation  and  conventional  activated sludge, Chemical Phosphorus Removal",Yes,"Bonnybrook Wastewater Treatment Plant Expansion Program
Bonnybrook Wastewater Treatment Plant: From waste gas to five megawatts of power ",
AB,Slave Lake Pulp ,"43016 East Mitsue Road, Lesser Slave River No.124, AB T0G 2A0",55.2509095,-114.5205693,,,,,,,,No,Biomethanation with Power Generation Project,
BC,Chilliwack,Chilliwack,49.1692,-121.9859,,,45000,19594,Biogas flared,,"Primary  sedimentation  and  conventional  activated sludge, Biological Nutrient Removal or No Chemical Phosphorus Removal",Yes,Resource Supply Potential for Renewable Natural Gas in B.C.,
BC,Kamloops,Kamloops,50.6941,-120.4649,,,55000,28500,Biogas flared,,"Primary  sedimentation  and  conventional  activated sludge, Biological Nutrient Removal or No Chemical Phosphorus Removal",Yes,Resource Supply Potential for Renewable Natural Gas in B.C.,
