DS_COMARCA,Habitantes,Hombres,Mujeres,CENSO DE HEMBRAS REPRODUCTORAS MAYORES DE 24 MESES,CENSO DE ANIMALES EN CEBADEROS,TotAnimals
AGUILAR,9748,4835,5070,3469.0,100.0,3569.0
ALBA DE TORMES,24226,12706,11943,30868.0,11024.0,41892.0
ALISTE,13764,7432,6849,4947.0,82.0,5029.0
ALMAZÁN,8480,4519,4238,25.0,132.0,157.0
ARCOS DE JALÓN,3187,1656,1490,152.0,0.0,152.0
ARLANZA,12873,7194,6179,245.0,1122.0,1367.0
ARLANZÓN,202958,98890,102677,2208.0,978.0,3186.0
ARÉVALO-MADRIGAL,25778,13152,12661,9906.0,8656.0,18562.0
ASTORGA,33775,16272,16745,4275.0,1987.0,6262.0
BAJO ALBERCHE,25181,13150,12250,15559.0,4396.0,19955.0
BAJO DUERO,32325,16624,16103,7763.0,5857.0,13620.0
BARCO DE ÁVILA - PIEDRAHITA,10153,5418,5205,18139.0,3732.0,21871.0
BENAVENTE Y LOS VALLES,39446,20161,20260,4663.0,3622.0,8285.0
BIERZO,131404,66331,68157,5463.0,343.0,5806.0
BOEDO-OJEDA,5106,2716,2559,1680.0,202.0,1882.0
BURGO DE OSMA,11300,6043,5618,310.0,63.0,373.0
CAMPO DE GÓMARA,12960,6792,5990,715.0,1609.0,2324.0
CAMPOS,108477,53503,56644,5890.0,2663.0,8553.0
CAMPOS-PAN,86576,42586,45548,7582.0,12351.0,19933.0
CENTRO,416598,201580,213296,5929.0,6893.0,12822.0
CERVERA,3923,2078,1951,5901.0,484.0,6385.0
CIUDAD RODRIGO,25382,13276,13256,47443.0,3939.0,51382.0
CUÉLLAR,45451,23879,22468,7645.0,43798.0,51443.0
EL CERRATO,24509,12772,11802,1812.0,3621.0,5433.0
EL PÁRAMO,19388,10111,9516,3484.0,6646.0,10130.0
ESLA-CAMPOS,33178,13682,12987,11989.0,5209.0,17198.0
GREDOS,4749,2711,2360,14851.0,504.0,15355.0
GUARDO,10489,5500,5443,1598.0,373.0,1971.0
LA BAÑEZA,22059,11372,11524,2326.0,3716.0,6042.0
LA BUREBA-EBRO,55584,29540,27616,1729.0,188.0,1917.0
LA CABRERA,3970,2257,2137,2498.0,0.0,2498.0
LA DEMANDA,16618,9381,7974,9916.0,464.0,10380.0
LA FUENTE DE SAN ESTEBAN,8807,4730,4403,54403.0,6091.0,60494.0
LA MONTAÑA DE LUNA,17086,13545,13317,11620.0,558.0,12178.0
LA MONTAÑA DE RIAÑO,16142,8999,8385,12450.0,8546.0,20996.0
LA RIBERA,49281,25462,23945,1063.0,514.0,1577.0
LA SIERRA,31947,16512,16549,25426.0,4711.0,30137.0
LEDESMA,6975,3743,3471,36664.0,4724.0,41388.0
MERINDADES,23340,13001,11341,22862.0,715.0,23577.0
PEÑARANDA DE BRACAMONTE,17562,9320,8737,7542.0,4948.0,12490.0
PINARES,49440,23968,25097,3936.0,347.0,4283.0
PISUERGA,9579,5436,4484,2041.0,3193.0,5234.0
PÁRAMOS,2315,1367,1076,2102.0,22.0,2124.0
SAHAGÚN,11964,3725,3506,1420.0,1712.0,3132.0
SALAMANCA,216639,103446,113360,13742.0,9303.0,23045.0
SALDAÑA-VALDAVIA,8263,4546,3887,11142.0,1451.0,12593.0
SANABRIA,10216,5356,5069,5641.0,58.0,5699.0
SAYAGO,9294,4985,4692,16547.0,3817.0,20364.0
SEGOVIA,98600,49308,49453,29939.0,14045.0,43984.0
SEPÚLVEDA,19129,10449,9297,5074.0,4640.0,9714.0
SORIA,5593,3233,2720,2055.0,52.0,2107.0
SUR,52837,27289,26536,3696.0,5032.0,8728.0
SURESTE,45092,23111,21600,1009.0,3381.0,4390.0
TIERRA DE CAMPOS,18245,9805,9358,5145.0,6652.0,11797.0
TIERRAS ALTAS Y VALLE DEL TERA,3660,2075,1662,5257.0,133.0,5390.0
TIERRAS DE LEÓN,204344,98422,109179,10001.0,2028.0,12029.0
VALLE DEL TIÉTAR,34111,18061,17159,10330.0,2941.0,13271.0
VITIGUDINO,18492,9779,9377,61059.0,4864.0,65923.0
ÁVILA,71683,34228,35325,47235.0,13428.0,60663.0
