Comunidad,Provincia,Población,Latitude,Longitude,Altitud,Habitantes,Hombres,Mujeres,geometry,Region,Town,CENSO DE HEMBRAS REPRODUCTORAS MAYORES DE 24 MESES,CENSO DE ANIMALES EN CEBADEROS,TotAnimals
Castilla León,Ávila,Adanero,40.94591,-4.606659,905.2096,264,152,143,POINT (-4.606659 40.94591),ARÉVALO-MADRIGAL,ADANERO,0.0,747.0,747.0
Castilla León,Ávila,Adrada (La),40.29935,-4.634857,622.7286,2685,1432,1302,POINT (-4.634857 40.29935),VALLE DEL TIÉTAR,ADRADA (LA),512.0,181.0,693.0
Castilla León,Ávila,Albornos,40.83842,-4.881355,909.7402,218,130,113,POINT (-4.881355 40.83842),ARÉVALO-MADRIGAL,ALBORNOS,550.0,93.0,643.0
Castilla León,Ávila,Aldeanueva de Santa Cruz,40.38176,-5.419435,1166.277,135,85,66,POINT (-5.419435 40.38176),BARCO DE ÁVILA - PIEDRAHITA,ALDEANUEVA DE SANTA CRUZ,180.0,0.0,180.0
Castilla León,Ávila,Aldeaseca,41.04952,-4.817433,861.7283,277,127,136,POINT (-4.817433 41.04952),ARÉVALO-MADRIGAL,ALDEASECA,86.0,102.0,188.0
Castilla León,Ávila,Aldehuela (La),40.79458,-4.763939,959.1974,203,101,109,POINT (-4.763939 40.79458),ARÉVALO-MADRIGAL,ALDEHUELA (LA),837.0,45.0,882.0
Castilla León,Ávila,Amavida,40.57338,-5.0668419999999985,1175.522,174,90,93,POINT (-5.066841999999999 40.57338),ÁVILA,AMAVIDA,244.0,0.0,244.0
Castilla León,Ávila,Arenal (El),40.26487,-5.087197,890.2292,1027,526,520,POINT (-5.087197 40.26487),VALLE DEL TIÉTAR,ARENAL (EL),0.0,0.0,0.0
Castilla León,Ávila,Arenas de San Pedro,40.20872,-5.091141,514.0571,6870,3362,3468,POINT (-5.091141 40.20872),VALLE DEL TIÉTAR,ARENAS DE SAN PEDRO,1004.0,80.0,1084.0
Castilla León,Ávila,Arevalillo,40.58731,-5.370576,1137.772,104,58,60,POINT (-5.370576 40.58731),ÁVILA,AREVALILLO,241.0,0.0,241.0
Castilla León,Ávila,Arévalo,41.06443,-4.7216809999999985,826.179,8098,3922,4152,POINT (-4.721680999999999 41.06443),ARÉVALO-MADRIGAL,AREVALO,153.0,42.0,195.0
Castilla León,Ávila,Aveinte,40.78237,-4.837343,1000.345,92,59,47,POINT (-4.837343 40.78237),ARÉVALO-MADRIGAL,AVEINTE,88.0,0.0,88.0
Castilla León,Ávila,Avellaneda,40.38853,-5.388019,1351.8829999999996,32,16,15,POINT (-5.388019 40.38853),BARCO DE ÁVILA - PIEDRAHITA,AVELLANEDA,61.0,0.0,61.0
Castilla León,Ávila,Ávila,40.65642,-4.700323,1129.841,59482,27485,29370,POINT (-4.700323 40.65642),ÁVILA,AVILA,4093.0,3326.0,7419.0
Castilla León,Ávila,Barco de Ávila (El),40.35711,-5.523521,1018.091,2688,1328,1393,POINT (-5.523521 40.35711),BARCO DE ÁVILA - PIEDRAHITA,BARCO DE AVILA (EL),469.0,66.0,535.0
Castilla León,Ávila,Barraco (El),40.47881,-4.638284,1007.118,2073,1096,1056,POINT (-4.638284 40.47881),BAJO ALBERCHE,BARRACO (EL),1664.0,2411.0,4075.0
Castilla León,Ávila,Barromán,41.06509000000001,-4.931392,795.3719,203,118,105,POINT (-4.931392 41.06509),ARÉVALO-MADRIGAL,BARROMAN,0.0,32.0,32.0
Castilla León,Ávila,Becedas,40.40503,-5.634871,1100.157,266,155,145,POINT (-5.634871 40.40503),BARCO DE ÁVILA - PIEDRAHITA,BECEDAS,1165.0,584.0,1749.0
Castilla León,Ávila,Becedillas,40.53734,-5.324924,1055.372,117,72,61,POINT (-5.324924 40.53734),BARCO DE ÁVILA - PIEDRAHITA,BECEDILLAS,663.0,19.0,682.0
Castilla León,Ávila,Bercial de Zapardiel,41.04642,-4.9693010000000015,806.9874,246,120,125,POINT (-4.969301000000001 41.04642),ARÉVALO-MADRIGAL,BERCIAL DE ZAPARDIEL,135.0,23.0,158.0
Castilla León,Ávila,Berlanas (Las),40.80299,-4.760686,947.4949,365,184,172,POINT (-4.760686 40.80299),ARÉVALO-MADRIGAL,BERLANAS (LAS),221.0,0.0,221.0
Castilla León,Ávila,Bernuy-Zapardiel,40.97598,-4.9439449999999985,865.666,138,85,67,POINT (-4.943944999999999 40.97598),ARÉVALO-MADRIGAL,BERNUY-ZAPARDIEL,305.0,0.0,305.0
Castilla León,Ávila,Berrocalejo de Aragona,40.69409,-4.594394,1093.8339999999996,49,27,23,POINT (-4.594394 40.69409),ÁVILA,BERROCALEJO DE ARAGONA,0.0,0.0,0.0
Castilla León,Ávila,Blascomillán,40.80138,-5.088691000000002,949.7968,210,109,115,POINT (-5.088691000000001 40.80138),ÁVILA,BLASCOMILLAN,1091.0,10.0,1101.0
Castilla León,Ávila,Blasconuño de Matacabras,41.1234,-4.990178,786.0962,18,8,9,POINT (-4.990178 41.1234),ARÉVALO-MADRIGAL,BLASCONUNO DE MATACABRAS,0.0,0.0,0.0
Castilla León,Ávila,Blascosancho,40.87781,-4.635879,904.3203,105,66,67,POINT (-4.635879 40.87781),ARÉVALO-MADRIGAL,BLASCOSANCHO,0.0,0.0,0.0
Castilla León,Ávila,Bohodón (El),40.91633,-4.730068,884.0,142,79,77,POINT (-4.730068 40.91633),ARÉVALO-MADRIGAL,BOHODON (EL),114.0,0.0,114.0
Castilla León,Ávila,Bohoyo,40.31496,-5.441185,1152.302,324,188,165,POINT (-5.441185 40.31496),BARCO DE ÁVILA - PIEDRAHITA,BOHOYO,776.0,14.0,790.0
Castilla León,Ávila,Bonilla de la Sierra,40.53089,-5.264956,1078.679,136,73,63,POINT (-5.264956 40.53089),BARCO DE ÁVILA - PIEDRAHITA,BONILLA DE LA SIERRA,838.0,29.0,867.0
Castilla León,Ávila,Brabos,40.77847,-4.937897,981.4635,55,33,27,POINT (-4.937897 40.77847),ÁVILA,BRABOS,472.0,742.0,1214.0
Castilla León,Ávila,Bularros,40.72449,-4.865047,1169.908,80,50,35,POINT (-4.865047 40.72449),ÁVILA,BULARROS,415.0,449.0,864.0
Castilla León,Ávila,Burgohondo,40.41368,-4.786215,841.5716,1302,670,608,POINT (-4.786215 40.41368),BAJO ALBERCHE,BURGOHONDO,708.0,60.0,768.0
Castilla León,Ávila,Cabezas de Alambre,40.9404,-4.842389,889.5198,177,92,89,POINT (-4.842389 40.9404),ARÉVALO-MADRIGAL,CABEZAS DE ALAMBRE,0.0,0.0,0.0
Castilla León,Ávila,Cabezas del Pozo,41.00153,-4.955734,844.806,87,56,50,POINT (-4.955734 41.00153),ARÉVALO-MADRIGAL,CABEZAS DEL POZO,40.0,0.0,40.0
Castilla León,Ávila,Cabezas del Villar,40.71527,-5.209755,1047.323,316,199,160,POINT (-5.209755 40.71527),ÁVILA,CABEZAS DEL VILLAR,3064.0,504.0,3568.0
Castilla León,Ávila,Cabizuela,40.90104,-4.800335,880.9836,113,59,62,POINT (-4.800335 40.90104),ARÉVALO-MADRIGAL,CABIZUELA,559.0,169.0,728.0
Castilla León,Ávila,Canales,41.00328,-4.9003489999999985,856.6454,49,29,23,POINT (-4.900348999999999 41.00328),ARÉVALO-MADRIGAL,CANALES,0.0,0.0,0.0
Castilla León,Ávila,Candeleda,40.15509,-5.239783999999998,432.1873,5223,2663,2503,POINT (-5.239783999999999 40.15509),VALLE DEL TIÉTAR,CANDELEDA,1585.0,210.0,1795.0
Castilla León,Ávila,Cantiveros,40.9527,-4.954445,878.133,143,78,73,POINT (-4.954445 40.9527),ARÉVALO-MADRIGAL,CANTIVEROS,32.0,0.0,32.0
Castilla León,Ávila,Cardeñosa,40.74177,-4.745263,1106.686,495,277,255,POINT (-4.745263 40.74177),ÁVILA,CARDENOSA,437.0,0.0,437.0
Castilla León,Ávila,Carrera (La),40.34768,-5.554624,1055.56,212,115,99,POINT (-5.554624 40.34768),BARCO DE ÁVILA - PIEDRAHITA,CARRERA (LA),363.0,0.0,363.0
Castilla León,Ávila,Casas del Puerto,40.52906,-5.198162,1181.79,106,61,57,POINT (-5.198162 40.52906),BARCO DE ÁVILA - PIEDRAHITA,CASAS DEL PUERTO,0.0,0.0,0.0
Castilla León,Ávila,Casasola,40.66874,-4.826726,1316.7820000000004,89,57,53,POINT (-4.826726 40.66874),ÁVILA,CASASOLA,381.0,335.0,716.0
Castilla León,Ávila,Casavieja,40.28105,-4.766778,560.0256,1578,826,773,POINT (-4.766778 40.28105),VALLE DEL TIÉTAR,CASAVIEJA,1129.0,318.0,1447.0
