Comunidad,Provincia,Población,Latitude,Longitude,Altitud,Habitantes,Hombres,Mujeres,geometry,Region,Town
Castilla León,Ávila,Adanero,40.94591,-4.606659,905.2096,264,152,143,POINT (-4.606659 40.94591),ARÉVALO-MADRIGAL,Adanero
Castilla León,Ávila,Adrada (La),40.29935,-4.634857,622.7286,2685,1432,1302,POINT (-4.634857 40.29935),VALLE DEL TIÉTAR,Adrada (La)
Castilla León,Ávila,Albornos,40.83842,-4.881355,909.7402,218,130,113,POINT (-4.881355 40.83842),ARÉVALO-MADRIGAL,Albornos
Castilla León,Ávila,Aldeanueva de Santa Cruz,40.38176,-5.419435,1166.277,135,85,66,POINT (-5.419435 40.38176),BARCO DE ÁVILA - PIEDRAHITA,Aldeanueva de Santa Cruz
Castilla León,Ávila,Aldeaseca,41.04952,-4.817433,861.7283,277,127,136,POINT (-4.817433 41.04952),ARÉVALO-MADRIGAL,Aldeaseca
Castilla León,Ávila,Aldehuela (La),40.794579999999996,-4.763939,959.1974,203,101,109,POINT (-4.763939 40.79458),ARÉVALO-MADRIGAL,Aldehuela (La)
Castilla León,Ávila,Amavida,40.57338,-5.066841999999999,1175.522,174,90,93,POINT (-5.066841999999999 40.57338),ÁVILA,Amavida
Castilla León,Ávila,Arenal (El),40.26487,-5.087197,890.2292,1027,526,520,POINT (-5.087197 40.26487),VALLE DEL TIÉTAR,Arenal (El)
Castilla León,Ávila,Arenas de San Pedro,40.20872,-5.091141,514.0571,6870,3362,3468,POINT (-5.091141 40.20872),VALLE DEL TIÉTAR,Arenas de San Pedro
Castilla León,Ávila,Arevalillo,40.587309999999995,-5.370576,1137.772,104,58,60,POINT (-5.370576 40.58731),ÁVILA,Arevalillo
Castilla León,Ávila,Arévalo,41.06443,-4.721680999999999,826.179,8098,3922,4152,POINT (-4.721680999999999 41.06443),ARÉVALO-MADRIGAL,Arévalo
Castilla León,Ávila,Aveinte,40.78237,-4.837343,1000.345,92,59,47,POINT (-4.837343 40.78237),ARÉVALO-MADRIGAL,Aveinte
